DateStart,DateEnd,Interval Days,GeoName,Keyword1_/m/02vxy_,Keyword2_/m/04_xn
2012-01-01,2018-12-31,2557,Abilene-Sweetwater TX,90,10
2012-01-01,2018-12-31,2557,Albany GA,87,13
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,83,17
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,92,8
2012-01-01,2018-12-31,2557,Alexandria LA,94,6
2012-01-01,2018-12-31,2557,Alpena MI,92,8
2012-01-01,2018-12-31,2557,Amarillo TX,94,6
2012-01-01,2018-12-31,2557,Anchorage AK,87,13
2012-01-01,2018-12-31,2557,Atlanta GA,75,25
2012-01-01,2018-12-31,2557,Augusta GA,86,14
2012-01-01,2018-12-31,2557,Austin TX,83,17
2012-01-01,2018-12-31,2557,Bakersfield CA,89,11
2012-01-01,2018-12-31,2557,Baltimore MD,77,23
2012-01-01,2018-12-31,2557,Bangor ME,86,14
2012-01-01,2018-12-31,2557,Baton Rouge LA,94,6
2012-01-01,2018-12-31,2557,Beaumont-Port Arthur TX,89,11
2012-01-01,2018-12-31,2557,Bend OR,91,9
2012-01-01,2018-12-31,2557,"Billings, MT",95,5
2012-01-01,2018-12-31,2557,Biloxi-Gulfport MS,94,6
2012-01-01,2018-12-31,2557,Binghamton NY,85,15
2012-01-01,2018-12-31,2557,Birmingham AL,88,12
2012-01-01,2018-12-31,2557,Bluefield-Beckley-Oak Hill WV,88,12
2012-01-01,2018-12-31,2557,Boise ID,90,10
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,83,17
2012-01-01,2018-12-31,2557,Bowling Green KY,86,14
2012-01-01,2018-12-31,2557,Buffalo NY,83,17
2012-01-01,2018-12-31,2557,Burlington VT-Plattsburgh NY,86,14
2012-01-01,2018-12-31,2557,Butte-Bozeman MT,90,10
2012-01-01,2018-12-31,2557,Casper-Riverton WY,92,8
2012-01-01,2018-12-31,2557,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,87,13
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,86,14
2012-01-01,2018-12-31,2557,Charleston SC,89,11
2012-01-01,2018-12-31,2557,Charleston-Huntington WV,86,14
2012-01-01,2018-12-31,2557,Charlotte NC,85,15
2012-01-01,2018-12-31,2557,Charlottesville VA,83,17
2012-01-01,2018-12-31,2557,Chattanooga TN,87,13
2012-01-01,2018-12-31,2557,Cheyenne WY-Scottsbluff NE,91,9
2012-01-01,2018-12-31,2557,Chicago IL,74,26
2012-01-01,2018-12-31,2557,Chico-Redding CA,87,13
2012-01-01,2018-12-31,2557,Cincinnati OH,89,11
2012-01-01,2018-12-31,2557,Clarksburg-Weston WV,88,12
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,88,12
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,92,8
2012-01-01,2018-12-31,2557,Columbia SC,78,22
2012-01-01,2018-12-31,2557,Columbia-Jefferson City MO,87,13
2012-01-01,2018-12-31,2557,Columbus GA,85,15
2012-01-01,2018-12-31,2557,Columbus OH,77,23
2012-01-01,2018-12-31,2557,Columbus-Tupelo-West Point MS,88,12
2012-01-01,2018-12-31,2557,Corpus Christi TX,94,6
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,75,25
2012-01-01,2018-12-31,2557,Davenport IA-Rock Island-Moline IL,91,9
2012-01-01,2018-12-31,2557,Dayton OH,88,12
2012-01-01,2018-12-31,2557,Denver CO,87,13
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,90,10
2012-01-01,2018-12-31,2557,Detroit MI,77,23
2012-01-01,2018-12-31,2557,Dothan AL,91,9
2012-01-01,2018-12-31,2557,Duluth MN-Superior WI,94,6
2012-01-01,2018-12-31,2557,El Paso TX,92,8
2012-01-01,2018-12-31,2557,Elmira NY,88,12
2012-01-01,2018-12-31,2557,Erie PA,89,11
2012-01-01,2018-12-31,2557,Eugene OR,86,14
2012-01-01,2018-12-31,2557,Eureka CA,84,16
2012-01-01,2018-12-31,2557,Evansville IN,94,6
2012-01-01,2018-12-31,2557,Fairbanks AK,91,9
2012-01-01,2018-12-31,2557,Fargo-Valley City ND,90,10
2012-01-01,2018-12-31,2557,Flint-Saginaw-Bay City MI,90,10
2012-01-01,2018-12-31,2557,Florence-Myrtle Beach SC,88,12
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,87,13
2012-01-01,2018-12-31,2557,Ft. Myers-Naples FL,92,8
2012-01-01,2018-12-31,2557,Ft. Smith-Fayetteville-Springdale-Rogers AR,88,12
2012-01-01,2018-12-31,2557,Ft. Wayne IN,91,9
2012-01-01,2018-12-31,2557,Gainesville FL,84,16
2012-01-01,2018-12-31,2557,Glendive MT,0,0
2012-01-01,2018-12-31,2557,Grand Junction-Montrose CO,94,6
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,89,11
2012-01-01,2018-12-31,2557,Great Falls MT,95,5
2012-01-01,2018-12-31,2557,Green Bay-Appleton WI,94,6
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,82,18
2012-01-01,2018-12-31,2557,Greenville-New Bern-Washington NC,89,11
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,87,13
2012-01-01,2018-12-31,2557,Greenwood-Greenville MS,91,9
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,95,5
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,87,13
2012-01-01,2018-12-31,2557,Harrisonburg VA,84,16
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,81,19
2012-01-01,2018-12-31,2557,Hattiesburg-Laurel MS,90,10
2012-01-01,2018-12-31,2557,Helena MT,97,3
2012-01-01,2018-12-31,2557,Honolulu HI,91,9
2012-01-01,2018-12-31,2557,Houston TX,78,22
2012-01-01,2018-12-31,2557,Huntsville-Decatur (Florence) AL,89,11
2012-01-01,2018-12-31,2557,Idaho Falls-Pocatello ID,88,12
2012-01-01,2018-12-31,2557,Indianapolis IN,86,14
2012-01-01,2018-12-31,2557,Jackson MS,89,11
2012-01-01,2018-12-31,2557,Jackson TN,88,12
2012-01-01,2018-12-31,2557,Jacksonville FL,87,13
2012-01-01,2018-12-31,2557,Johnstown-Altoona PA,91,9
2012-01-01,2018-12-31,2557,Jonesboro AR,90,10
2012-01-01,2018-12-31,2557,Joplin MO-Pittsburg KS,92,8
2012-01-01,2018-12-31,2557,Juneau AK,90,10
2012-01-01,2018-12-31,2557,Kansas City MO,90,10
2012-01-01,2018-12-31,2557,Knoxville TN,88,12
2012-01-01,2018-12-31,2557,La Crosse-Eau Claire WI,93,7
2012-01-01,2018-12-31,2557,Lafayette IN,87,13
2012-01-01,2018-12-31,2557,Lafayette LA,97,3
2012-01-01,2018-12-31,2557,Lake Charles LA,96,4
2012-01-01,2018-12-31,2557,Lansing MI,89,11
2012-01-01,2018-12-31,2557,Laredo TX,95,5
2012-01-01,2018-12-31,2557,Las Vegas NV,87,13
2012-01-01,2018-12-31,2557,Lexington KY,86,14
2012-01-01,2018-12-31,2557,Lima OH,93,7
2012-01-01,2018-12-31,2557,Lincoln & Hastings-Kearney NE,94,6
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,88,12
2012-01-01,2018-12-31,2557,Los Angeles CA,84,16
2012-01-01,2018-12-31,2557,Louisville KY,88,12
2012-01-01,2018-12-31,2557,Lubbock TX,90,10
2012-01-01,2018-12-31,2557,Macon GA,80,20
2012-01-01,2018-12-31,2557,Madison WI,90,10
2012-01-01,2018-12-31,2557,Mankato MN,91,9
2012-01-01,2018-12-31,2557,Marquette MI,92,8
2012-01-01,2018-12-31,2557,Medford-Klamath Falls OR,89,11
2012-01-01,2018-12-31,2557,Memphis TN,80,20
2012-01-01,2018-12-31,2557,Meridian MS,90,10
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,85,15
